C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,UTS
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,586
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,599
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,590
0.16,0.133,0.623,0.008,0.04,0,0,0.036,0,0,0,0,0,0,0,0.303,0,0,0,350
0.158,0.14,0.607,0.1,0.042,0,0,0.043,0,0,0,0,0,0,0,0.301,0,0,0,350
0.16,0.157,0.599,0.28,0.04,0,0,0.05,0,0,0,0,0,0,0,0.3,0,0,0,325
0.156,0.143,0.63,0.52,0.039,0,0,0.049,0,0,0,0,0,0,0,0.312,0,0,0,325
0.162,0.13,0.605,0.68,0.04,0,0,0.042,0,0,0,0,0,0,0,0.3,0,0,0,450
0.18,0.22,0.6,0.02,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495
0.18,0.22,0.6,0.02,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510
0.18,0.22,0.6,0.02,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525
0.18,0.22,0.6,0.02,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545
0.06,0,1.5,0,0,0,0,0,0,0.07,0.1,0,0.02,0,0,0,0,0,0,670
0.06,0,1.5,0,0,0,0,0,0,0.08,0,0,0.07,0,0,0,0,0,0,673
0.06,0.26,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510
0.06,0.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580
0.09,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564
0.21,0.29,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515
0.38,0.2,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768
0.193,0.19,1.35,0,0,0.482,0.922,0.009,0.005,0,0,0,0,0.128,0,0,0,0,0,577
0.2,0.185,1.42,0,0,0.485,0.926,0.013,0.014,0,0,0,0,0.127,0,0,0,0,0,595
0.198,0.201,1.36,0,0,0.484,0.928,0.019,0.015,0,0,0,0,0.127,0,0,0,0,0,600
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,540
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,612
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,758
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,550
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,650
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,737
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,580
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,633
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,758
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,758
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,650
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,580
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,550
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,584
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,596
0.098,0.25,1.3,0.001,0.0016,0,0,0.043,0.006,0,0,0,0,0,0.015,0,0,0,0,729
0.098,0.25,1.3,0.001,0.0016,0,0,0.043,0.006,0,0,0,0,0,0.015,0,0,0,0,629
0.35,0.27,1.56,0.016,0.016,0.03,0,0.026,0,0,0.17,0,0,0.14,0,0.27,0,0,0,973
0.35,0.27,1.56,0.016,0.016,0.03,0,0.026,0,0,0.17,0,0,0.14,0,0.27,0,0,0,978
0.34,0.32,1.2,0.012,0.013,0.03,0,0.04,0,0,0.17,0,0,0.12,0,0.22,0,0,0,745
0.34,0.32,1.2,0.012,0.013,0.03,0,0.04,0,0,0.17,0,0,0.12,0,0.22,0,0,0,776
0.193,0.19,1.35,0,0,0.482,0.922,0.009,0.005,0,0,0,0,0.128,0,0,0,0,0,577
0.2,0.185,1.42,0,0,0.485,0.926,0.013,0.014,0,0,0,0,0.127,0,0,0,0,0,595
0.198,0.201,1.36,0,0,0.484,0.928,0.019,0.015,0,0,0,0,0.127,0,0,0,0,0,600
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,580
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,587
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,601
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,584
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,586
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,604
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,599
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,590
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,620
0.0012,0,0.045,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292
0.19,0.33,1.43,0.022,0.016,0,0,0.016,0,0,0.1,0,0.001,0,0,0,0,0,0,721
0.19,0.42,1.32,0.024,0.028,0,0,0.022,0,0,0.12,0,0.023,0,0,0,0,0,0,688
0.27,0.35,1.4,0.012,0.009,0.02,0.08,0.025,0.016,0,0.2,0,0,0.22,0,0.09,0,0,0,905
0.25,0.33,1.4,0.022,0.03,0.018,0.011,0,0,0,0,0,0,0.15,0,0,0,0,0,705
0.25,0.33,1.4,0.022,0.03,0.018,0.011,0,0,0,0,0,0,0.15,0,0,0,0,0,835
0.4,0.56,1.49,0.016,0.042,0,0,0,0.009,0,0.114,0,0.014,0,0,0,0,0,0,941
0.4,0.56,1.49,0.016,0.042,0,0,0,0.009,0,0.114,0,0.014,0,0,0,0,0,0,937
0.4,0.56,1.49,0.016,0.042,0,0,0,0.009,0,0.114,0,0.014,0,0,0,0,0,0,966
0.24,0.06,0.3,0.005,0.009,0.19,3.12,0,0,0,0.11,0,0,1.5,0,0,0,0,0,764.4
0.24,0.06,0.3,0.005,0.009,0.19,3.12,0,0,0,0.11,0,0,1.5,0,0,0,0,0,740.88
0.19,0.21,1.28,0.012,0.013,0.52,0.64,0,0,0,0,0,0,0,0,0,0,0,0,600
0.15,0.18,0.33,0.012,0.013,0.37,2.55,0,0,0,0,0,0,1.66,0,0.033,0,0,0,730
0.12,0.21,1.27,0.01,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,467.3
0.13,0.15,1.15,0.01,0.01,0,0,0.04,0,0,0.09,0,0,0,0,0,0,0,0,495.4
0.12,0.21,1.12,0.01,0.01,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0,528.3
0.11,0.21,1.3,0.01,0.01,0,0,0.05,0,0,0.07,0,0.07,0,0,0,0,0,0,547.4
0.17,0.23,1.33,0.01,0.007,0.03,0.14,0.02,0,0,0,0,0,0.09,0,0.17,0,0,0,528
0.15,0.26,1.33,0.01,0.034,0.03,0.15,0.02,0,0,0,0,0,0.1,0,0.17,0,0,0,520
