C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,Temperature,Energy
0.054,0.03,0.54,0,0,0,0,0,0.005,0,0,0,0.075,0,0,0,0,0,0,-67,19
0.061,0.03,0.56,0,0,0,0,0,0.005,0,0,0,0.092,0,0,0,0,0,0,-55,19
0.055,0.03,0.55,0,0,0,0,0,0.005,0,0,0,0.092,0,0,0,0,0,0,-45,19
0.054,0.03,0.54,0,0,0,0,0,0.005,0,0,0,0.092,0,0,0,0,0,0,-33,19
0.048,0.03,0.53,0,0,0,0,0,0.004,0,0,0,0.11,0,0,0,0,0,0,-33,19
0.052,0.03,0.55,0,0,0,0,0,0.004,0,0,0,0.033,0,0,0,0,0,0,-52,19
0.052,0.03,0.53,0,0,0,0,0,0.005,0,0,0,0.065,0,0,0,0,0,0,-45,19
0.054,0.03,0.55,0,0,0,0,0,0.004,0,0,0,0.06,0,0,0,0,0,0,-46,19
0.052,0.03,0.55,0,0,0,0,0,0.005,0,0,0,0.052,0,0,0,0,0,0,-35,19
0.051,0.03,0.52,0,0,0,0,0,0.004,0,0,0,0.042,0,0,0,0,0,0,-40,19
0.045,0.03,0.49,0,0,0,0,0,0.004,0,0,0,0.092,0,0,0,0,0,0,-38,19
0.069,0.03,0.55,0,0,0,0,0,0.004,0,0,0,0.08,0,0,0,0,0,0,-35,19
0.075,0.03,0.5,0,0,0,0,0,0.006,0,0,0,0.1,0,0,0,0,0,0,-33,19
0.065,0.03,0.49,0,0,0,0,0,0.006,0,0,0,0.082,0,0,0,0,0,0,-71,19
0.065,0.03,0.47,0,0,0,0,0,0.006,0,0,0,0.09,0,0,0,0,0,0,-95,19
0.06,0.03,0.45,0,0,0,0,0,0.007,0,0,0,0.18,0,0,0,0,0,0,-57,19
0.009,0.03,0.96,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,-41,27
0.03,0.17,0.55,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,-1,27
0.03,0.17,0.55,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,-23,27
0.03,0.17,0.55,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,-42,27
0.031,0.05,0.41,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,7,27
0.031,0.05,0.41,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,-20,27
0.031,0.05,0.41,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,-40,27
0.031,0.03,0.59,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,-33,27
0.02,0.09,0.42,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,-13,27
0.02,0.09,0.42,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,-4,27
0.02,0.09,0.42,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,4,27
0.02,0.03,0.35,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,-3,27
0.02,0.03,0.35,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,10,27
0.02,0.03,0.35,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,20,27
0.02,0.01,1.08,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,-15,27
0.02,0.01,1.08,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,2,27
0.02,0.01,1.08,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,18,27
0.02,0.02,0.81,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,-12,27
0.02,0.02,0.81,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,27
0.02,0.02,0.81,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,6,27
0.02,0.07,0.5,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,-8,27
0.02,0.07,0.5,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,8,27
0.02,0.07,0.5,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,12,27
0.02,0.01,0.31,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,27
0.02,0.01,0.31,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,-2,27
0.02,0.01,0.31,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,2,27
0.19,0.29,0.63,0.015,0.028,0,0,0.004,0.0061,0,0,0,0,0,0,0,0,0,0,-25,27
0.17,0.27,0.69,0.015,0.027,0,0,0.13,0.006,0,0,0,0,0,0,0,0,0,0,-46,27
0.2,0.03,0.68,0.019,0.022,0,0,0.008,0.005,0,0,0,0,0,0,0,0,0,0,-14,27
0.2,0.04,0.61,0.012,0.027,0,0,0.126,0.0045,0,0,0,0,0,0,0,0,0,0,-31,27
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,-90,27
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,-90,27
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,-20,27
0.09,0.16,0.92,0.018,0.01,0,0,0.026,0.007,0,0.008,0,0.001,0,0,0,0,0,0,-60,27
0.09,0.16,0.92,0.018,0.01,0,0,0.026,0.007,0,0.008,0,0.001,0,0,0,0,0,0,-79,27
0.09,0.16,0.92,0.018,0.01,0,0,0.026,0.007,0,0.008,0,0.001,0,0,0,0,0,0,-105,27
0.09,0.16,0.92,0.018,0.01,0,0,0.026,0.007,0,0.008,0,0.001,0,0,0,0,0,0,-76,27
0.09,0.16,0.92,0.018,0.01,0,0,0.026,0.007,0,0.008,0,0.001,0,0,0,0,0,0,-76,27
0.09,0.16,0.92,0.018,0.01,0,0,0.026,0.007,0,0.008,0,0.001,0,0,0,0,0,0,-83,27
0.09,0.16,0.92,0.018,0.01,0,0,0.026,0.007,0,0.008,0,0.001,0,0,0,0,0,0,-49,27
0.09,0.16,0.92,0.018,0.01,0,0,0.026,0.007,0,0.008,0,0.001,0,0,0,0,0,0,-91,27
0.069,0.11,1.45,0.009,0.003,0,0.5,0.007,0.0058,0,0,0.0024,0.011,0,0,0,0,0,0,-100.3195787,27
0.08,0.11,1.44,0.01,0.004,0,0.51,0.006,0.0085,0,0,0.0025,0.012,0,0,0,0,0,0,-110.6135363,27
0.062,0.1,1.46,0.01,0.004,0,0.51,0,0.006,0,0,0.0025,0.01,0,0,0,0,0,0,-76.15315971,27
0.15,0.3,1.38,0.011,0.007,0,0,0.038,0.0051,0,0.05,0,0,0,0,0.25,0,0,0,-80.65410677,27
0.15,0.31,1.38,0.009,0.009,0,0,0.037,0.0053,0,0.05,0,0,0,0,0.02,0,0,0,-72.14190356,27
0.15,0.3,1.38,0.01,0.006,0,0,0.039,0.0045,0,0.06,0,0,0,0,0.02,0,0,0,-84.07487675,27
0.15,0.31,1.4,0.01,0.007,0,0,0.036,0.0054,0,0.06,0,0,0,0,0.02,0,0,0,-67.55272796,27
0.16,0.31,1.38,0.011,0.007,0,0,0.038,0.0056,0,0.05,0,0,0,0,0.02,0,0,0,-65.47537069,27
0.16,0.31,1.37,0.009,0.009,0,0,0.038,0.0049,0,0.05,0,0,0,0,0.02,0,0,0,-68.89275241,27
0.066,0.33,1.46,0.013,0.003,0.2,0,0.043,0.004,0,0.05,0,0,0,0,0,0,0,0,-70.70457062,27
0.062,0.3,1.45,0.013,0.004,0.2,0,0.039,0.0038,0,0,0,0,0.2,0,0,0,0,0,-68.50716585,27
0.068,0.1,1.43,0.009,0.002,0,0.5,0.005,0.0079,0,0,0.0023,0.1,0,0,0,0,0,0,-86.34046734,27
0.071,0.1,1.45,0.005,0.003,0,0.5,0,0.0046,0,0,0.0022,0.01,0,0,0,0,0,0,-102.3292767,27
0.063,0.1,1.43,0.007,0.003,0,0.51,0,0.0058,0,0,0.0025,0.01,0,0,0,0,0,0,-105.4466865,27
0.068,0.1,1.45,0.008,0.004,0,0.51,0,0.0047,0,0,0.0022,0.01,0,0,0,0,0,0,-89.68718594,27
0.071,0.1,1.45,0.007,0.004,0,0.51,0.006,0.0065,0,0,0.0022,0.01,0,0,0,0,0,0,-102.1698884,27
0.097,0.29,1.45,0.014,0.004,0,0.31,0.029,0.007,0,0.1,0,0.0005,0,0,0,0,0,0,-84.65256209,27
0.1,0.29,1.43,0.016,0.002,0,0.31,0.03,0.007,0,0.1,0,0.012,0,0,0,0,0,0,-78.42752391,27
0.087,0.3,1.45,0.013,0.003,0,0.89,0.028,0.007,0,0.08,0,0.001,0,0,0.3,0,0,0,-78.42752391,27
0.27,0.25,0.53,0.013,0.005,0.33,4.05,0.07,0.004,0,0,0,0,1.24,0,0,0,0,0,-100,27
0.27,0.25,0.53,0.013,0.005,0.33,4.05,0.07,0.004,0,0,0,0,1.24,0,0,0,0,0,-80,27
0.34,0.27,0.54,0.014,0.005,0.3,4.03,0.07,0.004,0,0,0,0,1.24,0,0,0,0,0,-70,27
0.34,0.27,0.54,0.014,0.005,0.3,4.03,0.07,0.004,0,0,0,0,1.24,0,0,0,0,0,-50,27
0.09,0.17,0.93,0.01,0.01,0,0.02,0.028,0.004,0.0007,0,0,0,0.03,0,0.02,0,0,0,-23,27
0.22,0.35,1.13,0.013,0.011,0.002,0.025,0.043,0.005,0.001,0.002,0.0001,0.002,0.028,0,0.039,0,0,0,-78.06321719,27
0.15,0.26,1.08,0.008,0.008,0.001,0.018,0.039,0.006,0.001,0.003,0.0001,0.001,0.017,0,0.009,0,0,0,-95.06822752,27
0.17,0.29,0.82,0.015,0.014,0.003,0.021,0.003,0.003,0.001,0.002,0.0001,0,0.025,0,0.015,0,0,0,-57.24102724,27
0.18,0.38,1.18,0.015,0.011,0.002,0.02,0.003,0.004,0.001,0.003,0.0001,0.001,0.023,0,0.011,0,0,0,-37.35173271,27
0.15,0.21,0.86,0.013,0.015,0.002,0.021,0.002,0.004,0.001,0.003,0.0001,0.001,0.019,0,0.023,0,0,0,-68.52650905,27
0.15,0.27,0.81,0.014,0.014,0.002,0.021,0.002,0.006,0.001,0.002,0.0001,0.001,0.016,0,0.013,0,0,0,-56.12295585,27
